"test","movieid","title","genres","imdbid","tmdbid","userid","rating","timestamp"
3777,116,"Anne Frank Remembered (1995)","Documentary",112373,51352,90,5.0,856354268
3782,117,"Young Poisoner's Handbook, The (1995)","Crime|Drama",115033,16934,604,3.0,832080636
3783,118,"If Lucy Fell (1996)","Comedy|Romance",116606,10324,19,3.0,965708217
3785,119,"Steal Big, Steal Little (1995)","Comedy",114536,78406,414,3.0,961438609
3787,121,"Boys of St. Vincent, The (1992)","Drama",106473,32119,40,4.0,832060318
3789,122,"Boomerang (1992)","Comedy|Romance",103859,11066,42,3.0,996221451
3805,123,"Chungking Express (Chung Hing sam lam) (1994)","Drama|Mystery|Romance",109424,11104,246,5.0,1354125195
3809,125,"Flirting With Disaster (1996)","Comedy",116324,2074,4,5.0,964622758
3821,126,"NeverEnding Story III, The (1994)","Adventure|Children|Fantasy",110647,27793,4,1.0,986848920
3828,128,"Jupiter's Wife (1994)","Documentary",110217,290157,260,3.0,1109410370
3829,129,"Pie in the Sky (1996)","Comedy|Romance",114131,110972,290,2.0,974937943
3830,132,"Jade (1995)","Thriller",113451,11863,136,3.0,832449989
3836,135,"Down Periscope (1996)","Comedy",116130,9101,6,3.0,845554987
3867,137,"Man of the Year (1995)","Documentary",113756,5757,609,3.0,847221054
3868,140,"Up Close and Personal (1996)","Drama|Romance",118055,9302,6,3.0,845555024
3884,141,"Birdcage, The (1996)","Comedy",115685,11000,6,4.0,845553586
3970,144,"Brothers McMullen, The (1995)","Comedy",112585,16388,42,4.0,996220026
3982,145,"Bad Boys (1995)","Action|Comedy|Crime|Drama|Thriller",112442,9737,6,4.0,845553966
4033,146,"Amazing Panda Adventure, The (1995)","Adventure|Children",112342,30765,6,4.0,845555607
4036,147,"Basketball Diaries, The (1995)","Drama",112461,10474,28,2.5,1242289858
4051,148,"Awfully Big Adventure, An (1995)","Drama",112427,22279,191,5.0,829760897
4052,149,"Amateur (1994)","Crime|Drama|Thriller",109093,30157,603,2.0,963179615
4053,150,"Apollo 13 (1995)","Adventure|Drama|IMAX",112384,568,5,3.0,847434748
4254,151,"Rob Roy (1995)","Action|Drama|Romance|War",114287,11780,1,5.0,964984041
4298,152,"Addiction, The (1995)","Drama|Horror",112288,34996,380,1.0,1494036422
4300,153,"Batman Forever (1995)","Action|Adventure|Comedy|Crime",112462,414,5,3.0,847434802
4437,154,"Beauty of the Day (Belle de jour) (1967)","Drama",61395,649,84,3.0,858771818
4449,155,"Beyond Rangoon (1995)","Adventure|Drama|War",112495,1873,191,4.0,829760897
4455,156,"Blue in the Face (1995)","Comedy|Drama",112541,5894,108,4.0,1042840602
4458,157,"Canadian Bacon (1995)","Comedy|War",109370,1775,1,5.0,964984100
4469,158,"Casper (1995)","Adventure|Children",112642,8839,6,4.0,845553660
4531,159,"Clockers (1995)","Crime|Drama|Mystery",112688,20649,6,3.0,845555006
4545,160,"Congo (1995)","Action|Adventure|Mystery|Sci-Fi",112715,10329,6,5.0,845553457
4602,161,"Crimson Tide (1995)","Drama|Thriller|War",112740,8963,6,3.0,845553253
4705,162,"Crumb (1994)","Documentary",109508,26564,4,5.0,945078571
4722,163,"Desperado (1995)","Action|Romance|Western",112851,8068,1,5.0,964983650
4788,164,"Devil in a Blue Dress (1995)","Crime|Film-Noir|Mystery|Thriller",112857,8512,79,5.0,975281545
4802,165,"Die Hard: With a Vengeance (1995)","Action|Crime|Thriller",112864,1572,6,3.0,845553146
4946,166,"Doom Generation, The (1995)","Comedy|Crime|Drama",112887,13552,182,1.5,1055156234
4949,168,"First Knight (1995)","Action|Drama|Romance",113071,6520,6,5.0,845553695
5003,169,"Free Willy 2: The Adventure Home (1995)","Adventure|Children|Drama",113114,9073,181,3.0,845470321
5013,170,"Hackers (1995)","Action|Adventure|Crime|Thriller",113243,10428,6,3.0,845554263
5048,171,"Jeffrey (1995)","Comedy|Drama",113464,17447,4,3.0,945078428
5054,172,"Johnny Mnemonic (1995)","Action|Sci-Fi|Thriller",113481,9886,15,1.0,1299424762
5107,173,"Judge Dredd (1995)","Action|Crime|Sci-Fi",113492,9482,19,1.0,965703997
5169,174,"Jury Duty (1995)","Comedy",113500,19326,6,3.0,845554479
5179,175,"Kids (1995)","Drama",113540,9344,23,3.0,1107162721
5199,176,"Living in Oblivion (1995)","Comedy",113677,9071,4,5.0,964622565
5212,177,"Lord of Illusions (1995)","Horror",113690,8973,6,3.0,845554931
5220,178,"Love & Human Remains (1993)","Comedy|Drama",107447,15730,191,1.0,829760898
5221,179,"Mad Love (1995)","Drama|Romance",113729,47608,6,1.0,845555362
5223,180,"Mallrats (1995)","Comedy|Romance",113749,2293,6,2.0,845555006
5259,181,"Mighty Morphin Power Rangers: The Movie (1995)","Action|Children",113820,9070,6,3.0,845553938
5276,183,"Mute Witness (1994)","Comedy|Horror|Thriller",110604,48787,325,4.0,1039396567
5278,184,"Nadja (1994)","Drama",110620,34574,603,4.0,963179880
5280,185,"Net, The (1995)","Action|Crime|Thriller",113957,1642,6,3.0,845553283
5392,186,"Nine Months (1995)","Comedy|Romance",113986,11472,6,3.0,845553619
5440,187,"Party Girl (1995)","Comedy",114095,36196,9,3.0,1044657119
5444,188,"Prophecy, The (1995)","Fantasy|Horror|Mystery",114194,11980,136,5.0,832451540
5456,189,"Reckless (1995)","Comedy|Fantasy",114241,58372,6,3.0,845556241
5457,190,"Safe (1995)","Thriller",114323,32646,4,2.0,945079259
5462,191,"Scarlet Letter, The (1995)","Drama|Romance",114345,10533,6,2.0,845554931
5468,193,"Showgirls (1995)","Drama",114436,10802,14,3.0,835441371
5503,194,"Smoke (1995)","Comedy|Drama",114478,10149,32,5.0,856737270
5521,195,"Something to Talk About (1995)","Comedy|Drama|Romance",114496,18402,6,4.0,845554455
5531,196,"Species (1995)","Horror|Sci-Fi",114508,9348,6,3.0,845553586
5576,198,"Strange Days (1995)","Action|Crime|Drama|Mystery|Sci-Fi|Thriller",114558,281,57,3.0,965798823
5604,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Drama|Musical|Romance",58450,5967,40,3.0,832060204
5608,201,"Three Wishes (1995)","Drama|Fantasy",114663,47939,6,3.0,845556290
5609,202,"Total Eclipse (1995)","Drama|Romance",114702,36834,606,3.0,1172015598
5610,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","Comedy",114682,9090,32,4.0,856737166
5632,204,"Under Siege 2: Dark Territory (1995)","Action",114781,3512,6,3.0,845553619
5662,205,"Unstrung Heroes (1995)","Comedy|Drama",114798,52856,6,3.0,845555477
5671,206,"Unzipped (1995)","Documentary",114805,77350,385,2.0,839867522
5673,207,"Walk in the Clouds, A (1995)","Drama|Romance",114887,9560,6,4.0,845554024
5694,208,"Waterworld (1995)","Action|Adventure|Sci-Fi",114898,9804,6,3.0,845553253
5809,209,"White Man's Burden (1995)","Drama",114928,31611,6,3.0,845556106
5812,210,"Wild Bill (1995)","Western",114938,65796,6,4.0,845556310
5816,211,"Browning Version, The (1994)","Drama",109340,49805,28,3.0,1242107980
5818,212,"Bushwhacked (1995)","Adventure|Comedy|Crime|Mystery",112602,26258,6,4.0,845556181
5821,213,"Burnt by the Sun (Utomlyonnye solntsem) (1994)","Drama",111579,50797,105,4.5,1446610221
5827,214,"Before the Rain (Pred dozhdot) (1994)","Drama|War",110882,19155,84,4.0,858771796
5829,215,"Before Sunrise (1995)","Drama|Romance",112471,76,4,5.0,945079078
5853,216,"Billy Madison (1995)","Comedy",112508,11017,1,5.0,964981208
5902,217,"Babysitter, The (1995)","Drama|Thriller",112438,37141,6,3.0,845555382
5908,218,"Boys on the Side (1995)","Comedy|Drama",112571,9382,6,2.0,845553994
5922,219,"Cure, The (1995)","Drama",112757,6715,6,3.0,845556131
5923,220,"Castle Freak (1995)","Horror",112643,18256,604,3.0,832080636
5924,222,"Circle of Friends (1995)","Drama|Romance",112679,22625,4,1.0,945629040
5940,223,"Clerks (1994)","Comedy",109445,2292,1,3.0,964980985
6044,224,"Don Juan DeMarco (1995)","Comedy|Drama|Romance",112883,1909,6,3.0,845553794
6084,225,"Disclosure (1994)","Drama|Thriller",109635,8984,6,4.0,845553381
6136,227,"Drop Zone (1994)","Action|Thriller",109676,4954,42,4.0,996221233
6158,228,"Destiny Turns on the Radio (1995)","Comedy",112854,62488,40,3.0,832060190
6161,229,"Death and the Maiden (1994)","Drama|Thriller",109579,10531,191,5.0,829760897
6168,230,"Dolores Claiborne (1995)","Drama|Thriller",109642,11929,6,5.0,845553966
6192,231,"Dumb & Dumber (Dumb and Dumber) (1994)","Adventure|Comedy",109686,8467,1,5.0,964981179
6325,232,"Eat Drink Man Woman (Yin shi nan nu) (1994)","Comedy|Drama|Romance",111797,10451,4,5.0,964622684
6339,233,"Exotica (1994)","Drama",109759,20156,101,4.0,968440983
6351,234,"Exit to Eden (1994)","Comedy",109758,18395,6,2.0,845554176
6368,235,"Ed Wood (1994)","Comedy|Drama",109707,522,1,4.0,964980908
6438,236,"French Kiss (1995)","Action|Comedy|Romance",113117,397,6,4.0,845553559
6483,237,"Forget Paris (1995)","Comedy|Romance",113097,10525,6,4.0,845553875
6505,238,"Far From Home: The Adventures of Yellow Dog (1995)","Adventure|Children",113028,27985,27,3.0,962685525
6507,239,"Goofy Movie, A (1995)","Animation|Children|Comedy|Romance",113198,15789,6,3.0,845554987
6524,240,"Hideaway (1995)","Thriller",113303,27303,6,3.0,845555571
6528,241,"Fluke (1995)","Children|Drama",113089,21183,607,4.0,964744490
6529,242,"Farinelli: il castrato (1994)","Drama|Musical",109771,10954,160,2.0,971117781
6534,243,"Gordy (1995)","Children|Comedy|Fantasy",113199,47867,6,3.0,845555588
6535,246,"Hoop Dreams (1994)","Documentary",110057,14275,32,4.0,856737338
6564,247,"Heavenly Creatures (1994)","Crime|Drama",110005,1024,4,3.0,986848894
6585,248,"Houseguest (1994)","Comedy",110066,17207,6,5.0,845554263
6602,249,"Immortal Beloved (1994)","Drama|Romance",110116,13701,33,3.0,939716778
6620,250,"Heavyweights (Heavy Weights) (1995)","Children|Comedy",110006,14819,6,4.0,845555588
6626,251,"Hunted, The (1995)","Action",113360,32631,6,3.0,845556257
6629,252,"I.Q. (1994)","Comedy|Romance",110099,11777,6,4.0,845553619
6672,253,"Interview with the Vampire: The Vampire Chronicles (1994)","Drama|Horror",110148,628,5,3.0,847435292
6781,254,"Jefferson in Paris (1995)","Drama",113463,87729,6,3.0,845555655
6782,255,"Jerky Boys, The (1995)","Comedy",110189,18713,66,0.5,1113188840
6789,256,"Junior (1994)","Comedy|Sci-Fi",110216,6280,6,3.0,845553726
6824,257,"Just Cause (1995)","Mystery|Thriller",113501,9061,6,5.0,845554176
6838,258,"Kid in King Arthur's Court, A (1995)","Adventure|Children|Comedy|Fantasy|Romance",113538,37108,6,3.0,845555172
6848,259,"Kiss of Death (1995)","Crime|Drama|Thriller",113552,6071,43,4.0,848994678
6853,260,"Star Wars: Episode IV - A New Hope (1977)","Action|Adventure|Sci-Fi",76759,11,1,5.0,964981680
7104,261,"Little Women (1994)","Drama",110367,9587,5,4.0,847435238
7146,262,"Little Princess, A (1995)","Children|Drama",113670,19101,6,5.0,845554551
7167,263,"Ladybird Ladybird (1994)","Drama",110296,49980,606,4.0,1171328200
7168,265,"Like Water for Chocolate (Como agua para chocolate) (1992)","Drama|Fantasy|Romance",103994,18183,4,5.0,964538468
7201,266,"Legends of the Fall (1994)","Drama|Romance|War|Western",110322,4476,5,1.0,847435311
7269,267,"Major Payne (1995)","Comedy",110443,11008,6,3.0,845554376
7286,269,"My Crazy Life (Mi vida loca) (1993)","Drama",107566,32325,191,3.0,829760898
7288,270,"Love Affair (1994)","Drama|Romance",110391,43742,6,3.0,845555172
7293,271,"Losing Isaiah (1995)","Drama",113691,28313,6,4.0,845555249
7297,272,"Madness of King George, The (1994)","Comedy|Drama",110428,11318,23,4.0,1107162524
7328,273,"Mary Shelley's Frankenstein (Frankenstein) (1994)","Drama|Horror|Sci-Fi",109836,3036,6,3.0,845553875
7356,274,"Man of the House (1995)","Comedy",113755,40490,6,4.0,845555151
7363,275,"Mixed Nuts (1994)","Comedy",110538,24070,217,2.0,955944634
7369,276,"Milk Money (1994)","Comedy|Romance",110516,8986,6,4.0,845553907
7391,277,"Miracle on 34th Street (1994)","Drama",110527,10510,6,5.0,845553844
7429,278,"Miami Rhapsody (1995)","Comedy",113808,17402,294,1.0,966596695
7431,279,"My Family (1995)","Drama",113896,38722,6,3.0,845555436
7433,280,"Murder in the First (1995)","Drama|Thriller",113870,8438,58,5.0,847719231
7446,281,"Nobody's Fool (1994)","Comedy|Drama|Romance",110684,11593,6,4.0,845554320
7460,282,"Nell (1994)","Drama",110638,1945,6,3.0,845553522
7500,283,"New Jersey Drive (1995)","Crime|Drama",113967,39310,109,2.0,841275803
7503,284,"New York Cop (Nyû Yôku no koppu) (1993)","Action|Crime",117169,109560,594,4.5,1108975148
7504,285,"Beyond Bedlam (1993)","Drama|Horror",106402,56428,604,4.0,832080636
7505,287,"Nina Takes a Lover (1994)","Comedy|Romance",110671,131957,84,3.0,858772239
7506,288,"Natural Born Killers (1994)","Action|Crime|Thriller",110632,241,6,2.0,845553283
7598,289,"Only You (1994)","Comedy|Romance",110737,9058,6,3.0,845554455
7606,290,"Once Were Warriors (1994)","Crime|Drama",110729,527,5,5.0,847435311
7620,291,"Poison Ivy II (1996)","Drama|Thriller",114151,18220,6,3.0,845555571
7623,292,"Outbreak (1995)","Action|Drama|Sci-Fi|Thriller",114069,6950,6,4.0,845553253
7724,293,"Léon: The Professional (a.k.a. The Professional) (Léon) (1994)","Action|Crime|Drama|Thriller",110413,101,6,3.0,845553660
7857,294,"Perez Family, The (1995)","Comedy|Romance",114113,63020,262,3.0,840309997
7859,295,"Pyromaniac's Love Story, A (1995)","Comedy|Romance",114210,2307,19,3.0,965708038
7860,296,"Pulp Fiction (1994)","Comedy|Crime|Drama|Thriller",110912,680,1,3.0,964982967
8167,298,"Pushing Hands (Tui shou) (1992)","Drama",105652,25296,275,2.0,1049076725
8168,299,"Priest (1994)","Drama",110889,40156,84,5.0,858771796
8172,300,"Quiz Show (1994)","Drama",110932,11450,5,3.0,847435337
8253,301,"Picture Bride (Bijo photo) (1994)","Drama|Romance",114129,30304,603,4.0,954482713
8254,302,"Queen Margot (Reine Margot, La) (1994)","Drama|Romance",110963,10452,6,3.0,845555436
8259,303,"Quick and the Dead, The (1995)","Action|Thriller|Western",114214,12106,6,3.0,845554099
8291,304,"Roommates (1995)","Comedy|Drama",114296,161495,6,4.0,845555546
8294,305,"Ready to Wear (Pret-A-Porter) (1994)","Comedy",110907,3586,13,1.0,987456968
8303,306,"Three Colors: Red (Trois couleurs: Rouge) (1994)","Drama",111495,110,40,5.0,832059622
8319,307,"Three Colors: Blue (Trois couleurs: Bleu) (1993)","Drama",108394,108,33,5.0,939715286
8343,308,"Three Colors: White (Trzy kolory: Bialy) (1994)","Comedy|Drama",111507,109,33,4.0,939716559
8363,310,"Rent-a-Kid (1995)","Comedy",114268,36357,6,3.0,845556119
8364,311,"Relative Fear (1994)","Horror|Thriller",110965,92769,604,3.0,832080690
8365,312,"Stuart Saves His Family (1995)","Comedy",114571,28033,6,1.0,845555151
8374,313,"Swan Princess, The (1994)","Animation|Children",111333,22586,6,3.0,845555546
8377,314,"Secret of Roan Inish, The (1994)","Children|Drama|Fantasy|Mystery",111112,14334,6,5.0,845554603
8393,315,"Specialist, The (1994)","Action|Drama|Thriller",111255,2636,6,4.0,845553522
8431,316,"Stargate (1994)","Action|Adventure|Sci-Fi",111282,2164,1,3.0,964982310
8571,317,"Santa Clause, The (1994)","Comedy|Drama|Fantasy",111070,11395,6,4.0,845553457
8652,318,"Shawshank Redemption, The (1994)","Crime|Drama",111161,278,2,3.0,1445714835
8969,319,"Shallow Grave (1994)","Comedy|Drama|Thriller",111149,9905,4,5.0,945079182
8989,320,"Suture (1993)","Film-Noir|Thriller",108260,87078,603,3.0,953925390
8990,321,"Strawberry and Chocolate (Fresa y chocolate) (1993)","Drama",106966,12527,84,4.0,858771861
8992,322,"Swimming with Sharks (1995)","Comedy|Drama",114594,20306,33,2.0,939716829
9002,324,"Sum of Us, The (1994)","Comedy|Drama",111309,36614,84,4.0,860397228
9003,325,"National Lampoon's Senior Trip (1995)","Comedy",113936,27993,19,2.0,965708360
9010,326,"To Live (Huozhe) (1994)","Drama",110081,31439,84,3.0,857653794
9013,327,"Tank Girl (1995)","Action|Comedy|Sci-Fi",114614,9067,6,1.0,845554062
9047,328,"Tales from the Crypt Presents: Demon Knight (1995)","Horror|Thriller",114608,9059,19,2.0,965705076
9057,329,"Star Trek: Generations (1994)","Adventure|Drama|Sci-Fi",111280,193,6,4.0,845553200
9165,330,"Tales from the Hood (1995)","Action|Crime|Horror",114609,25066,6,3.0,845555071
9171,331,"Tom & Viv (1994)","Drama",111454,46797,84,3.0,858772206
9173,332,"Village of the Damned (1995)","Horror|Sci-Fi",114852,12122,6,3.0,845555046
9185,333,"Tommy Boy (1995)","Comedy",114694,11381,1,5.0,964981179
9235,334,"Vanya on 42nd Street (1994)","Drama",111590,32636,23,4.0,1107164085
9240,335,"Underneath (1995)","Mystery|Thriller",114788,36141,372,4.0,874415062
9242,336,"Walking Dead, The (1995)","Drama|War",114888,95963,6,3.0,845556223
9243,337,"What's Eating Gilbert Grape (1993)","Drama",108550,1587,6,5.0,845553586
9320,338,"Virtuosity (1995)","Action|Sci-Fi|Thriller",114857,9271,19,2.0,965703940
9339,339,"While You Were Sleeping (1995)","Comedy|Romance",114924,2064,6,4.0,845553253
9437,340,"War, The (1994)","Adventure|Drama|War",111667,19855,6,4.0,845555265
9442,341,"Double Happiness (1994)","Drama",109655,60855,290,4.0,974937901
9444,342,"Muriel's Wedding (1994)","Comedy",110598,236,4,5.0,964538500
9477,343,"Baby-Sitters Club, The (1995)","Children",112435,48287,6,3.0,845555172
9482,344,"Ace Ventura: Pet Detective (1994)","Comedy",109040,3049,5,3.0,847434802
9643,345,"Adventures of Priscilla, Queen of the Desert, The (1994)","Comedy|Drama",109045,2759,4,4.0,945629063
9679,346,"Backbeat (1993)","Drama|Musical",106339,12635,109,4.0,841141700
9685,347,"Bitter Moon (1992)","Drama|Film-Noir|Romance",104779,10497,6,3.0,845555300
9691,348,"Bullets Over Broadway (1994)","Comedy",109348,11382,4,4.0,964622786
9721,349,"Clear and Present Danger (1994)","Action|Crime|Drama|Thriller",109444,9331,1,4.0,964982563
9831,350,"Client, The (1994)","Drama|Mystery|Thriller",109446,10731,6,5.0,845553489
